brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
101688.0,for_sale,329990.0,3.0,2.0,0.25,1996810.0,Waynesboro,Pennsylvania,17268.0,1250.0,N/A
104844.0,for_sale,439900.0,2.0,2.0,0.23,148782.0,Lemont,Illinois,60439.0,1702.0,N/A
102304.0,for_sale,525000.0,4.0,2.0,2.0,1574942.0,Okeechobee,Florida,34974.0,2037.0,2019-10-16 00:00:00
60420.0,for_sale,313270.0,4.0,2.0,0.12,1005315.0,Haines City,Florida,33844.0,1840.0,N/A
16748.0,for_sale,349999.0,4.0,3.0,0.36,1215414.0,Erie,Pennsylvania,16506.0,2280.0,2020-08-18 00:00:00
46625.0,for_sale,365000.0,3.0,3.0,0.21,1449014.0,Bolingbrook,Illinois,60440.0,2351.0,2020-04-14 00:00:00
6909.0,for_sale,189000.0,4.0,2.0,0.21,1707364.0,Atlanta,Georgia,30331.0,1150.0,2022-04-15 00:00:00
44815.0,for_sale,499000.0,1.0,1.0,0.0,1391818.0,Brooklyn,New York,11220.0,460.0,2016-12-05 00:00:00
57056.0,for_sale,707423.0,3.0,4.0,0.48,85569.0,Sebastian,Florida,32958.0,2608.0,2019-02-08 00:00:00
108572.0,for_sale,160000.0,2.0,1.0,1.63,971565.0,Middleport,Ohio,45760.0,1352.0,N/A
79979.0,for_sale,94000.0,2.0,2.0,0.22,177700.0,Floral City,Florida,34436.0,864.0,1999-03-26 00:00:00
21736.0,for_sale,1495000.0,5.0,4.0,0.52,749610.0,Largo,Florida,33774.0,4055.0,2013-04-18 00:00:00
11271.0,for_sale,549000.0,3.0,1.0,1.9,941280.0,Kennesaw,Georgia,30144.0,1800.0,N/A
57007.0,for_sale,684000.0,2.0,2.0,0.0,615673.0,Fort Lauderdale,Florida,33305.0,1359.0,2018-12-05 00:00:00
21986.0,for_sale,428500.0,4.0,3.0,0.31,948716.0,Warner Robins,Georgia,31088.0,2955.0,2022-04-29 00:00:00
33781.0,for_sale,99900.0,6.0,3.0,47130.0,1330803.0,Troy,New York,12180.0,2788.0,2021-05-20 00:00:00
25947.0,for_sale,454775.0,4.0,4.0,0.0,1317539.0,New Bern,North Carolina,28562.0,2952.0,N/A
23665.0,for_sale,3250000.0,3.0,4.0,1.87,970395.0,Dallas,Texas,75201.0,3415.0,N/A
22611.0,for_sale,115000.0,3.0,2.0,0.0,1619422.0,Arlington,Texas,76001.0,1080.0,N/A
45076.0,for_sale,359900.0,3.0,3.0,0.02,338246.0,Philadelphia,Pennsylvania,19121.0,1438.0,2016-03-22 00:00:00
23592.0,for_sale,1225000.0,1.0,2.0,0.0,1211219.0,New York City,New York,11249.0,905.0,2017-01-05 00:00:00
45016.0,for_sale,406000.0,3.0,3.0,0.08,73345.0,Carrollton,Texas,75006.0,1797.0,N/A
24196.0,for_sale,2900000.0,3.0,2.0,0.0,1238021.0,New York City,New York,11215.0,1720.0,2019-02-19 00:00:00
